"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1362","PIED","PIED31","8.5",NA,NA,10,"alive"
"1363","PIED","PIED31","9.0",459,52.8,10,"alive"
"1364","PIED","PIED31","9.5",NA,NA,NA,"alive"
"1365","PIED","PIED32","1.0",768,223.6,10,"alive"
"1366","PIED","PIED32","1.5",NA,NA,25,"alive"
"1367","PIED","PIED32","10.0",409,51.4,25,"alive"
"1368","PIED","PIED32","10.5",NA,NA,25,"alive"
"1369","PIED","PIED32","11.0",397,57.9,25,"alive"
"1370","PIED","PIED32","11.5",NA,NA,25,"alive"
"1371","PIED","PIED32","12.0",393,62.9,25,"alive"
"1372","PIED","PIED32","12.5",NA,NA,50,"alive"
"1373","PIED","PIED32","13.0",391,53.9,25,"alive"
"1374","PIED","PIED32","13.5",NA,NA,50,"alive"
"1375","PIED","PIED32","14.0",389,78.9,50,"alive"
"1376","PIED","PIED32","14.5",NA,NA,50,"alive"
"1377","PIED","PIED32","15.0",388,69,75,"dead"
"1378","PIED","PIED32","15.5",NA,NA,75,"dead"
"1379","PIED","PIED32","16.0",387,63.5,75,"dead"
"1380","PIED","PIED32","16.5",NA,NA,90,"dead"
"1381","PIED","PIED32","17.0",387,80.8,90,"dead"
"1382","PIED","PIED32","17.5",NA,NA,NA,"dead"
"1383","PIED","PIED32","18.0",NA,NA,NA,"dead"
"1384","PIED","PIED32","18.5",NA,NA,NA,"dead"
"1385","PIED","PIED32","19.0",NA,NA,NA,"dead"
"1386","PIED","PIED32","19.5",NA,NA,NA,"dead"
"1387","PIED","PIED32","2.0",734,210.2,10,"alive"
"1388","PIED","PIED32","2.5",NA,NA,10,"alive"
"1389","PIED","PIED32","20.0",NA,NA,NA,"dead"
"1390","PIED","PIED32","20.5",NA,NA,NA,"dead"
"1391","PIED","PIED32","21.0",NA,NA,NA,"dead"
"1392","PIED","PIED32","21.5",NA,NA,NA,"dead"
"1393","PIED","PIED32","22.0",NA,NA,NA,"dead"
"1394","PIED","PIED32","22.5",NA,NA,NA,"dead"
"1395","PIED","PIED32","3.0",696,183.4,10,"alive"
"1396","PIED","PIED32","3.5",NA,NA,10,"alive"
"1397","PIED","PIED32","4.0",635,237,10,"alive"
"1398","PIED","PIED32","4.5",NA,NA,10,"alive"
"1399","PIED","PIED32","5.0",549,177.5,25,"alive"
"1400","PIED","PIED32","5.5",NA,NA,25,"alive"
"1401","PIED","PIED32","6.0",513,94.4,25,"alive"
"1402","PIED","PIED32","6.5",NA,NA,25,"alive"
"1403","PIED","PIED32","7.0",469,131,10,"alive"
