Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,21,464,121.2,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,464,NA,NA,NA,45.7580593994107,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,22,371,NA,NA,alive,0,Pinyon Pine_heatwave,yes,NA,NA,371,NA,NA,NA,93.0816845571673,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,1,769,NA,25,alive,0,Pinyon Pine,no,433,769,769,336,336,100,69.9943606750986,25.9726576878151,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,2,708,NA,10,alive,0,Pinyon Pine,no,433,769,708,336,275,81.8452380952381,71.3002054572469,32.6463416898585,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,3,623,NA,10,alive,0,Pinyon Pine,no,433,769,623,336,190,56.547619047619,75.3121379902003,48.3061024319262,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,4,538,NA,25,alive,0,Pinyon Pine,no,433,769,538,336,105,31.25,87.3596451591877,66.8462930953153,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,5,504,NA,25,alive,0,Pinyon Pine,no,433,769,504,336,71,21.1309523809524,91.0811924918146,70.2823461982773,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,6,492,NA,25,alive,0,Pinyon Pine,no,433,769,492,336,59,17.5595238095238,86.6339006886912,63.4754637866001,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,7,483,NA,25,alive,0,Pinyon Pine,no,433,769,483,336,50,14.8809523809524,80.9156300184739,52.8503901848421,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,8,468,NA,25,alive,0,Pinyon Pine,no,433,769,468,336,35,10.4166666666667,73.1423749788306,35.6805187070575,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,9,460,NA,25,alive,0,Pinyon Pine,no,433,769,460,336,27,8.03571428571429,70.7675132788521,27.5006645321091,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,10,450,NA,25,alive,0,Pinyon Pine,no,433,769,450,336,17,5.05952380952381,68.8120161545312,20.4460493903471,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,11,444,NA,25,alive,0,Pinyon Pine,no,433,769,444,336,11,3.27380952380952,65.9742108041322,14.8794375168792,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,12,439,NA,50,alive,0,Pinyon Pine,no,433,769,439,336,6,1.78571428571429,63.4725616457328,10.3880835913923,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,13,436,NA,50,dead,1,Pinyon Pine,no,433,769,436,336,3,0.892857142857143,60.49928712547,5.97264720370147,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,14,433,NA,75,dead,1,Pinyon Pine,no,433,769,433,336,0,0,59.1401843377984,3.62576872268618,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,15,433,NA,75,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.4854157858959,2.21768542741543,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,16,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.5521709686857,1.25656172487509,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,17,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.5126567005126,1.02026255077535,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,0,7.86,400,6,13.41,18,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,NA,336,NA,NA,NA,NA,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,15,7.86,400,6,13.41,19,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.7328901123755,0.828078671210825,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,15,7.86,400,6,13.41,20,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.6642586085875,0,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,21,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.4074216224685,0,9.87699719834221,3.12300280165779,4.32148659959598
1,1,Pinus edulis,Pinyon Pine,PIED,PIED18,Ambient,Drought,no,19,7.86,400,6,13.41,22,NA,NA,NA,dead,1,Pinyon Pine,no,433,769,433,336,0,0,58.4074216224685,0,9.87699719834221,3.12300280165779,4.32148659959598
