ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,PercentBrown_Est
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Drought,2,10,42
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Drought,2,10,22
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Watered,0,0,18
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Watered,0,0,18
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Watered,0,0,18
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Watered,0,0,18
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient,Watered,0,0,18
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Drought,2,10,46
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,26.5,Ambient_HW,Watered,0,0,10
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Drought,2,10,28
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,27,Ambient,Watered,0,0,13
