ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Pinus flexilis,Limber Pine,PIFL,8,Ambient,Watered,0,0,750,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,8,Ambient_HW,Drought,1,5,581,348,706,358,232,64
Pinus flexilis,Limber Pine,PIFL,8,Ambient_HW,Watered,0,0,608,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,9,Ambient,Drought,0,0,662,365,759,394,296,75
Pinus flexilis,Limber Pine,PIFL,9,Ambient,Watered,0,0,736,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,9,Ambient_HW,Drought,1,5,558,348,706,358,210,58
Pinus flexilis,Limber Pine,PIFL,9,Ambient_HW,Watered,0,0,590,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,10,Ambient,Drought,0,0,635,365,759,394,270,68
Pinus flexilis,Limber Pine,PIFL,10,Ambient,Watered,0,0,707,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,10,Ambient_HW,Drought,1,5,538,348,706,358,189,52
Pinus flexilis,Limber Pine,PIFL,10,Ambient_HW,Watered,0,0,568,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,11,Ambient,Drought,0,0,603,365,759,394,238,60
Pinus flexilis,Limber Pine,PIFL,11,Ambient,Watered,0,0,703,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,11,Ambient_HW,Drought,1,5,502,348,706,358,154,42
Pinus flexilis,Limber Pine,PIFL,11,Ambient_HW,Watered,0,0,568,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,12,Ambient,Drought,0,0,571,365,759,394,206,52
Pinus flexilis,Limber Pine,PIFL,12,Ambient,Watered,0,0,666,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,12,Ambient_HW,Drought,1,5,475,348,706,358,127,34
Pinus flexilis,Limber Pine,PIFL,12,Ambient_HW,Watered,0,0,529,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,13,Ambient,Drought,0,0,543,365,759,394,178,45
Pinus flexilis,Limber Pine,PIFL,13,Ambient,Watered,0,0,692,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,13,Ambient_HW,Drought,1,5,455,348,706,358,107,29
Pinus flexilis,Limber Pine,PIFL,13,Ambient_HW,Watered,0,0,555,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,14,Ambient,Drought,0,0,517,365,759,394,152,39
