ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Pinus flexilis,Limber Pine,PIFL,6,Ambient,Watered,0,0,94.9333333333333,22.4,25.3,11.0333333333333
Pinus flexilis,Limber Pine,PIFL,6,Ambient_HW,Drought,0,0,126.59,22.81,29.67,12.89
Pinus flexilis,Limber Pine,PIFL,6,Ambient_HW,Watered,0,0,172.7,22.6,34.2333333333333,14.7666666666667
Pinus flexilis,Limber Pine,PIFL,7,Ambient,Drought,0,0,79.64,24.56,22.78,9.14
Pinus flexilis,Limber Pine,PIFL,7,Ambient,Watered,0,0,61.1333333333333,24.2666666666667,18.8,7.46666666666667
Pinus flexilis,Limber Pine,PIFL,7,Ambient_HW,Drought,0,0,101.3,24.33,25.92,10.61
Pinus flexilis,Limber Pine,PIFL,7,Ambient_HW,Watered,0,0,101.7,23.4333333333333,27.1666666666667,11.4333333333333
Pinus flexilis,Limber Pine,PIFL,8,Ambient,Drought,0,0,89.97,23.43,22.05,9.02
Pinus flexilis,Limber Pine,PIFL,8,Ambient,Watered,0,0,80.1333333333333,23.3666666666667,20.5666666666667,8.36666666666667
Pinus flexilis,Limber Pine,PIFL,8,Ambient_HW,Drought,0,0,181.25,23.64,32.99,13.95
Pinus flexilis,Limber Pine,PIFL,8,Ambient_HW,Watered,0,0,273.066666666667,22.5,41,17.3333333333333
Pinus flexilis,Limber Pine,PIFL,9,Ambient,Drought,0,0,124.86,23.2,27.89,12.22
Pinus flexilis,Limber Pine,PIFL,9,Ambient,Watered,0,0,108.233333333333,23.0333333333333,25.6,11.2333333333333
Pinus flexilis,Limber Pine,PIFL,9,Ambient_HW,Drought,0,0,174.05,22.81,33.28,14.59
Pinus flexilis,Limber Pine,PIFL,9,Ambient_HW,Watered,0,0,213.433333333333,22.9333333333333,36.3,15.9666666666667
Pinus flexilis,Limber Pine,PIFL,10,Ambient,Drought,0,0,135.53,21.75,29.43,12.78
Pinus flexilis,Limber Pine,PIFL,10,Ambient,Watered,0,0,123.833333333333,21.2,28.0333333333333,12.2
Pinus flexilis,Limber Pine,PIFL,10,Ambient_HW,Drought,0,0,165.32,21.32,32.47,13.94
Pinus flexilis,Limber Pine,PIFL,10,Ambient_HW,Watered,0,0,214.766666666667,21.5,36.3333333333333,15.7333333333333
Pinus flexilis,Limber Pine,PIFL,11,Ambient,Drought,0,0,141.68,22.71,29.93,12.88
Pinus flexilis,Limber Pine,PIFL,11,Ambient,Watered,0,0,135.166666666667,22.8666666666667,29.2,12.6
Pinus flexilis,Limber Pine,PIFL,11,Ambient_HW,Drought,0,0,184.13,22.73,34.3,14.83
Pinus flexilis,Limber Pine,PIFL,11,Ambient_HW,Watered,0,0,200.033333333333,22.5,35.2666666666667,15.2666666666667
Pinus flexilis,Limber Pine,PIFL,12,Ambient,Drought,0,0,150.42,22.14,31.06,13.4
Pinus flexilis,Limber Pine,PIFL,12,Ambient,Watered,0,0,128.066666666667,21.6,28.5,12.3
Pinus flexilis,Limber Pine,PIFL,12,Ambient_HW,Drought,0,0,201.73,21.93,36.06,15.59
Pinus flexilis,Limber Pine,PIFL,12,Ambient_HW,Watered,0,0,225.1,22.2,37.0666666666667,15.7333333333333
Pinus flexilis,Limber Pine,PIFL,13,Ambient,Drought,0,0,100.53,23.33,24.33,10.08
Pinus flexilis,Limber Pine,PIFL,13,Ambient,Watered,0,0,70.7333333333333,23.3666666666667,18.4333333333333,6.7
Pinus flexilis,Limber Pine,PIFL,13,Ambient_HW,Drought,0,0,99.47,22.69,24.54,10.17
Pinus flexilis,Limber Pine,PIFL,13,Ambient_HW,Watered,0,0,153.566666666667,23.4333333333333,30.8333333333333,12.8666666666667
