Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIFL,PIFL18,9,571,NA,10,alive
PIFL,PIFL18,9.5,NA,NA,25,alive
PIFL,PIFL19,1,691,NA,10,alive
PIFL,PIFL19,1.5,NA,NA,10,alive
PIFL,PIFL19,10,564,NA,10,alive
PIFL,PIFL19,10.5,NA,NA,10,alive
PIFL,PIFL19,11,529,NA,10,alive
PIFL,PIFL19,11.5,NA,NA,10,alive
PIFL,PIFL19,12,499,NA,10,alive
PIFL,PIFL19,12.5,NA,NA,10,alive
PIFL,PIFL19,13,474,NA,10,alive
PIFL,PIFL19,13.5,NA,NA,10,alive
PIFL,PIFL19,14,449,NA,10,alive
PIFL,PIFL19,14.5,NA,NA,10,alive
PIFL,PIFL19,15,431,NA,10,alive
PIFL,PIFL19,15.5,NA,NA,10,alive
PIFL,PIFL19,16,NA,NA,NA,alive
PIFL,PIFL19,16.5,NA,NA,10,alive
PIFL,PIFL19,17,410,NA,10,alive
PIFL,PIFL19,17.5,NA,NA,25,alive
PIFL,PIFL19,18,393,NA,25,alive
PIFL,PIFL19,18.5,NA,NA,10,alive
PIFL,PIFL19,19,382,NA,10,alive
PIFL,PIFL19,19.5,NA,NA,10,alive
PIFL,PIFL19,2,688,NA,10,alive
PIFL,PIFL19,2.5,NA,NA,10,alive
PIFL,PIFL19,20,369,NA,10,alive
PIFL,PIFL19,20.5,NA,NA,10,alive
PIFL,PIFL19,21,359,NA,10,alive
PIFL,PIFL19,21.5,NA,NA,10,alive
PIFL,PIFL19,22,348,NA,25,alive
PIFL,PIFL19,22.5,NA,NA,10,alive
PIFL,PIFL19,23,340,NA,25,alive
PIFL,PIFL19,23.5,NA,NA,50,alive
PIFL,PIFL19,24,338,NA,50,alive
PIFL,PIFL19,24.5,NA,NA,75,alive
PIFL,PIFL19,25,338,NA,75,alive
PIFL,PIFL19,25.5,NA,NA,75,dead
PIFL,PIFL19,26,338,NA,75,dead
PIFL,PIFL19,26.5,NA,NA,75,dead
PIFL,PIFL19,27,337,NA,75,dead
PIFL,PIFL19,27.5,NA,NA,50,dead
PIFL,PIFL19,28,336,NA,75,dead
PIFL,PIFL19,28.5,NA,NA,75,dead
PIFL,PIFL19,29,336,NA,75,dead
PIFL,PIFL19,29.5,NA,NA,NA,dead
PIFL,PIFL19,3,682,NA,10,alive
PIFL,PIFL19,3.5,NA,NA,10,alive
PIFL,PIFL19,30,NA,NA,NA,dead
PIFL,PIFL19,30.5,NA,NA,NA,dead
PIFL,PIFL19,31,NA,NA,NA,dead
PIFL,PIFL19,31.5,NA,NA,NA,dead
PIFL,PIFL19,32,NA,NA,NA,dead
PIFL,PIFL19,32.5,NA,NA,NA,dead
